Product,Brand,URL,Serving_Size,Carbs_per_Serving,Pack_Size
Maurten Gel 100,Maurten,https://www.cyclelab.com/maurten-gel-100-energy-gel,40 g gel,25,12
Maurten Gel 100 CAF 100,Maurten,https://www.cyclelab.com/maurten-gel-100-caf-100,40 g gel,25,12
Maurten Gel 160,Maurten,https://www.cyclelab.com/maurten-gel-160,65 g gel,40,12
Maurten Solid 160 Bar,Maurten,https://www.cyclelab.com/maurten-solid-160-energy-bar,55 g bar,40,12
Maurten Solid C 160 Bar,Maurten,https://www.cyclelab.com/maurten-solid-c160-energy-bar,55 g bar,40,12
Maurten Drink Mix 160,Maurten,https://maurten.co.za/catalogue/maurten-drinkmix-160/,40 g sachet,40,
Maurten Drink Mix 320,Maurten,https://maurten.co.za/catalogue/maurten-drinkmix-320/,80 g sachet,80,
Maurten Drink Mix 320 CAF 100,Maurten,https://maurten.co.za/catalogue/sachet-maurten-drink-mix-320-caf/,80 g sachet,80,
Cadence CarboFuel Energy Bar (Salted Caramel),Cadence,https://www.cadencenutrition.com/products/carbofuel-energy-salt-caramel-bar,45 g bar,40,
Cadence Balanced Energy Bar (Apple Pie),Cadence,https://www.cadencenutrition.com/products/balanced-energy-bar-apple-pie,45 g bar,20,
Cadence CarboFuel Gel,Cadence,https://www.cadencenutrition.com/collections/classic-energy-gels/products/cadence-nutrition-classic-energy-gel-vanilla,36 g gel,21.3,
Cadence CarboFuel Energy (Red Berry 1kg),Cadence,https://www.cadencenutrition.com/products/cadence-nutrition-carbofuel-red-berry-doypack,1 kg pack,880,
Biogen Real Fruit Energy Gel,Biogen,https://www.cyclelab.com/biogen-real-fruit-energy-gel-tropical,36 g gel,22,
Biogen Liquid Energy,Biogen,https://biogen.co.za/product-category/sports-nutrition/,60 ml gel,24,
Biogen Pure Carbs Unflavoured (1kg tub),Biogen,https://dischemlivingfit.co.za/shop/biogen-pure-carbs-fast-absorbing-maltodextrin-1kg/,1 kg tub,1000,
Biogen CarboGen (1kg tub),Biogen,https://www.biogen.co.za/product/carbogen-1kg/,1 kg tub,1000,
Biogen CytoGen (1kg tub),Biogen,https://www.biogen.co.za/product/cytogen-1kg/,1 kg tub,1000,
PowerBar PowerGel,PowerBar,https://www.cyclelab.com/powerbar-powergel-mango,41 g gel,25,
PowerBar PowerGel Hydro,PowerBar,https://www.archcycles.co.za/products/powerbar-powergel-hydro-cola-67ml,67 ml gel,25,
PowerBar RaceFuel,PowerBar,https://finishlinecycles.co.za/products/powerbar-energize-55g,55 g bar,37,
PowerBar IsoActive Sports Drink (600g),PowerBar,https://kragkroeg.co.za/products/performance-energy/isoactive-jar-lemon-600gx18/,600 g tub,544,
USN Vooma Ultra Gel,USN,https://www.dischem.co.za/usn-vooma-ultra-energy-gel-36g,36 g gel,25,
USN IsoGel,USN,https://za.usn.global/products/cramp-block-iso-gel,60 g gel,40,
USN Winners Energy Hydration (500g),USN,https://dischemlivingfit.co.za/shop/usn-winners-energy-sports-hydration-drink-500g/,500 g tub,444,
